,leveringsrichting,postcode_tot,postcode_van,sjv,soort
562,100,1012DS,1012DS,7112,ELK
563,100,1012DT,1012DT,3351,GAS
564,100,1012DT,1012DT,9776,ELK
565,100,1012DV,1012DV,4681,ELK
566,100,1012DV,1012DV,1689,GAS
567,100,1012DW,1012DW,3115,ELK
568,100,1012DW,1012DW,3056,GAS
569,100,1012DX,1012DX,2928,ELK
570,100,1012DX,1012DX,1763,GAS
571,100,1012EA,1012DZ,8584,ELK
572,100,1012EA,1012DZ,3121,GAS
573,100,1012EB,1012EB,2248,GAS
574,100,1012EB,1012EB,3940,ELK
575,100,1012EC,1012EC,2479,GAS
576,100,1012EC,1012EC,11369,ELK
577,100,1012ED,1012ED,4636,GAS
578,100,1012ED,1012ED,18026,ELK
579,100,1012EG,1012EE,2198,ELK
580,100,1012EH,1012EE,1879,GAS
581,100,1012EH,1012EH,9266,ELK
582,100,1012EJ,1012EJ,7064,ELK
583,100,1012EJ,1012EJ,3146,GAS
584,100,1012EK,1012EK,1739,GAS
585,100,1012EK,1012EK,6272,ELK
586,100,1012EL,1012EL,4257,GAS
587,100,1012EL,1012EL,5648,ELK
588,100,1012EM,1012EM,4172,ELK
589,100,1012EM,1012EM,1736,GAS
590,100,1012EN,1012EN,3440,ELK
591,100,1012EN,1012EN,2194,GAS
592,100,1012EP,1012EP,4975,ELK
593,100,1012EP,1012EP,1913,GAS
594,100,1012ER,1012ER,1988,GAS
595,80,1012ER,1012ER,2913,ELK
596,100,1012ES,1012ES,3919,ELK
597,100,1012ES,1012ES,1575,GAS
598,"94,74",1012ET,1012ET,8353,ELK
599,100,1012ET,1012ET,2759,GAS
600,100,1012EW,1012EV,1309,GAS
601,100,1012EV,1012EV,3469,ELK
602,100,1012EW,1012EW,7082,ELK
603,100,1012EX,1012EX,2704,GAS
604,100,1012EX,1012EX,3679,ELK
605,100,1012EZ,1012EZ,6218,GAS
606,100,1012EZ,1012EZ,6430,ELK
607,100,1012GA,1012GA,5949,ELK
608,100,1012GA,1012GA,1472,GAS
609,100,1012GB,1012GB,2154,GAS
610,100,1012GB,1012GB,13077,ELK
611,100,1012GD,1012GC,10579,ELK
612,100,1012GD,1012GC,2051,GAS
613,100,1012GE,1012GE,9498,ELK
614,100,1012GE,1012GE,2854,GAS
615,100,1012GG,1012GG,18482,ELK
616,100,1012GH,1012GG,1622,GAS
617,100,1012GH,1012GH,4535,ELK
618,100,1012GJ,1012GJ,8810,ELK
619,100,1012GJ,1012GJ,1887,GAS
620,100,1012GK,1012GK,7178,ELK
621,100,1012GK,1012GK,1252,GAS
622,100,1012GL,1012GL,2487,GAS
623,100,1012GL,1012GL,6361,ELK
