ZAAKNAAM,ADRES,OPENINGSTIJDEN_ZO_DO_VAN,OPENINGSTIJDEN_ZO_DO_TOT,OPENINGSTIJDEN_VR_ZA_VAN,OPENINGSTIJDEN_VR_ZA_TOT,LOCATIE_WKT
Chipsy King,Damstraat 8,07:00,03:00,07:00,04:00,POINT (4.89433631050881 52.372264920698)
"Pizzeria ""Amsterdam"" B.V.",Damstraat 9,07:00,03:00,07:00,04:00,POINT (4.89485012934129 52.3722760431666)
The Mexican II,Damstraat 10,07:00,01:00,07:00,03:00,POINT (4.8943952434803 52.3722471905554)
Argentinos,Damstraat 34,07:00,01:00,07:00,03:00,POINT (4.89522049925404 52.371980991176)
Meat & Drink,Damstraat 36,09:00,03:00,09:00,04:00,POINT (4.89527943149758 52.3719632605921)
Delifrance Damrak B.V.,Damrak 83B,07:00,03:00,07:00,04:00,POINT (4.89413855944153 52.3742054110655)
KFC DAMRAK,Damrak 87,07:00,03:00,07:00,04:00,POINT (4.89400849906477 52.374016131429)
Mondo Mediterraneo,Czaar Peterstraat 174-H,07:00,01:00,07:00,03:00,POINT (4.93148355136156 52.371164264364)
Dragon City,Damstraat 18,07:00,01:00,07:00,03:00,POINT (4.89463107456711 52.3721672825444)
Carne Argentina V.O.F.,Damstraat 21,07:00,01:00,07:00,03:00,POINT (4.89535125554262 52.3721073595517)
New York Pizza Damstraat B.V.,Damstraat 24A,07:00,03:00,07:00,04:00,POINT (4.89492563811166 52.3720876179486)
